tmin	text	tmax
4.696000	sa1 She had your dark suit in greasy wash water all year. 	11.792000
12.072000	sa2 Don't ask me to carry an oily rag like that. 	18.272000
18.552000	sx3 This was easy for us. 	22.312000
22.592000	sx4 Jane may earn more money by working hard. 	28.872000
29.152000	sx5 She is thinner than I am. 	34.536000
34.816000	sx6 Bright sunshine shimmers on the ocean. 	40.376000
40.656000	sx7 Nothing is as offensive as innocence. 	46.256000
46.536000	sx8 Why yell or worry over silly items? 	52.032000
52.312000	sx9 Where were you while we were away? 	58.072000
58.352000	sx10 Are your grades higher or lower than Nancy's? 	64.096000
64.376000	sx11 He will allow a rare lie. 	70.336000
70.616000	sx12 Will Robin wear a yellow lily? 	75.736000
76.016000	sx13 Swing your arm as high as you can. 	80.616000
80.896000	sx14 Before Thursday's exam, review every formula. 	86.992000
87.272000	sx15 The museum hires musicians every evening. 	93.256000
93.536000	sx16 A roll of wire lay near the wall. 	99.256000
99.536000	sx17 Carl lives in a lively home. 	105.856000
106.136000	sx18 Alimony harms a divorced man's wealth. 	112.416000
112.696000	sx19 Aluminum silverware can often be flimsy. 	118.872000
128.296000	sx21 Alfalfa is healthy for you. 	133.512000
133.792000	sx22 When all else fails, use force. 	139.672000
139.952000	sx23 Those musicians harmonize marvelously. 	145.216000
145.496000	sx24 Although always alone, we survive. 	151.136000
151.416000	sx25 Only lawyers love millionaires. 	157.112000
157.392000	sx26 Most young rise early every morning. 	163.496000
163.776000	sx27 Did dad do academic bidding? 	169.312000
169.592000	sx28 Beg that guard for one gallon of gas. 	175.512000
175.792000	sx29 Help Greg to pick a peck of potatoes. 	181.232000
181.512000	sx30 Get a calico cat to keep. 	186.232000
186.512000	sx31 A good attitude is unbeatable. 	191.856000
192.136000	sx32 It's fun to roast marshmallows on a gas burner. 	198.096000
198.376000	sx33 Coconut cream pie makes a nice dessert. 	204.736000
205.016000	sx34 Don't do Charlie's dirty dishes. 	210.776000
211.056000	sx35 Help celebrate your brother's success. 	215.856000
216.136000	sx36 Only the most accomplished artists obtain popularity. 	222.152000
222.432000	sx37 Critical equipment needs proper maintenance. 	228.096000
228.376000	sx38 Young people participate in athletic activities. 	234.032000
234.312000	sx39 Barb's gold bracelet was a graduation present. 	239.696000
239.976000	sx40 Stimulating discussions keep students' attention. 	246.576000
246.856000	sx41 Etiquette mandates compliance with existing regulations. 	253.576000
253.856000	sx42 Biblical scholars argue history. 	260.112000
260.392000	sx43 Elderly people are often excluded. 	266.816000
267.096000	sx44 Basketball can be an entertaining sport. 	272.832000
273.112000	sx45 Addition and subtraction are learned skills. 	279.456000
279.736000	sx46 That pickpocket was caught red-handed. 	284.776000
